alpha,b_size,layer_size,lr,num_layer,result
-1.0,390.0,20.0,-1.0,6.0, 0.04475524475524477
-3.605297955574989,330.0,91.0,-4.034180047264464,5.0, 0.022377622377622353
-5.027515131869942,390.0,33.0,-1.3623933164148219,6.0, 0.026573426573426585
-3.8317177430189227,190.0,91.0,-2.158943764094433,17.0, 0.03496503496503498
-7.0,410.0,39.0,-1.0,4.0, 0.032167832167832186
-3.0368944232966695,400.0,50.0,-1.9152485744447074,4.0, 0.036363636363636376
-6.265690970887899,400.0,43.0,-1.0437977589088996,4.0, 0.040559440559440586
-6.652364379510621,410.0,43.0,-2.1172946034887783,5.0, 0.02797202797202798
-5.854766700464022,420.0,42.0,-1.0,3.0, 0.05594405594405594
-1.0,330.0,98.0,-2.1973504186404487,14.0, 0.020979020979020956
-3.6103292068765125,190.0,93.0,-3.2552866174672017,17.0, 0.023776223776223772
-3.136718551630476,390.0,23.0,-1.4601668758442112,9.0, 0.02797202797202798
-1.2475596369171162,330.0,94.0,-5.628894088519402,16.0, 0.4195804195804196
-4.975084085308544,390.0,31.0,-2.2145570077622683,7.0, 0.03356643356643356
-1.0216538863998217,330.0,94.0,-5.794664912752841,16.0, 0.5580419580419581
-5.130657094454227,410.0,42.0,-1.0,2.0, 0.025174825174825187
-5.0913276566235615,410.0,42.0,-1.0,1.0, 0.029370629370629397
-6.032519845663626,410.0,42.0,-1.988593199762112,1.0, 0.02797202797202798
-4.394667391454928,410.0,47.0,-1.8010212311289922,3.0, 0.0363636363636364
-7.0,390.0,36.0,-1.0316053092976747,3.0, 0.032167832167832144
-1.0,330.0,98.0,-2.18485810518947,14.0, 0.03356643356643361
-1.0,330.0,84.0,-5.0393535220205194,1.0, 0.15944055944055946
-2.094289728126791,330.0,96.0,-5.406163000148174,10.0, 0.06573426573426573
-7.0,390.0,30.0,-1.0345061382568574,1.0, 0.03496503496503496
-6.62869898148578,390.0,20.0,-3.152789230593351,2.0, 0.02797202797202798
-2.123932558835191,330.0,99.0,-1.0,11.0, 0.3034965034965035
-5.191276341827528,410.0,39.0,-5.087835848076214,4.0, 0.28671328671328666
-2.1101730001480825,330.0,99.0,-1.0,11.0, 0.4741258741258741
-4.810374146234061,400.0,47.0,-1.7793230862108558,4.0, 0.02937062937062942
-2.1121259565395074,190.0,99.0,-1.1661171976380993,19.0, 0.24195804195804196
-2.6518513709240192,400.0,45.0,-1.0,3.0, 0.032167832167832165
-7.0,410.0,43.0,-1.0,3.0, 0.032167832167832165
-7.0,190.0,99.0,-1.0,12.0, 0.35104895104895106
-7.0,390.0,32.0,-3.0072412829813553,4.0, 0.03076923076923077
-7.0,390.0,32.0,-2.992794195111771,4.0, 0.03356643356643359
-7.0,390.0,32.0,-2.877740062537773,4.0, 0.029370629370629397
-4.062331837329526,390.0,46.0,-1.0,4.0, 0.03356643356643359
-1.0,390.0,22.0,-1.4271489791922454,12.0, 0.036363636363636376
-4.07179670746788,390.0,46.0,-1.0,4.0, 0.03356643356643359
-4.075772168316587,390.0,42.0,-1.0,5.0, 0.03496503496503496
-6.9656689261886,190.0,92.0,-5.466407977969231,18.0, 0.17762237762237762
-3.7689461168924296,400.0,45.0,-1.0,5.0, 0.04895104895104896
-3.91491452155577,400.0,45.0,-1.2161421768524256,5.0, 0.025174825174825187
-4.757300562177108,390.0,45.0,-1.671823283563215,2.0, 0.018181818181818188
-4.269728143731898,400.0,45.0,-3.0425336571001345,3.0, 0.029370629370629352
-6.282905814311195,390.0,20.0,-4.967681434452043,7.0, 0.3846153846153846
-4.505914795778345,390.0,44.0,-2.799571132279811,3.0, 0.032167832167832186
-3.8552806384442766,390.0,22.0,-1.2428835875533677,2.0, 0.03076923076923077
-4.6833457405465735,390.0,44.0,-2.0713432604270143,3.0, 0.0223776223776224
-7.0,390.0,42.0,-1.0,1.0, 0.032167832167832214
-4.898720990343901,390.0,45.0,-1.0,2.0, 0.026573426573426585
-4.808397608286448,390.0,45.0,-1.061053504563977,2.0, 0.025174825174825166
-4.455163931710804,340.0,23.0,-1.0,1.0, 0.03356643356643359
-1.992116415024275,390.0,20.0,-4.236548827796781,1.0, 0.10209790209790211
-3.543360805385487,410.0,49.0,-2.1353166772279137,3.0, 0.025174825174825187
-6.0730277208286765,410.0,45.0,-1.0,5.0, 0.05734265734265735
-3.417577488132976,410.0,50.0,-2.021341867613225,4.0, 0.036363636363636376
-3.2819845582379137,410.0,50.0,-2.060120627946845,4.0, 0.020979020979020956
-4.297169489215359,410.0,48.0,-2.331701400182889,2.0, 0.025174825174825166
-5.039472083920247,390.0,45.0,-1.617383397963923,2.0, 0.029370629370629377
-3.2060575478259676,390.0,40.0,-1.0,1.0, 0.032167832167832165
-2.839338736815402,390.0,41.0,-1.0,1.0, 0.02657342657342656
-4.4384053011771485,380.0,42.0,-1.0,2.0, 0.018181818181818167
-3.8979016564839934,420.0,49.0,-2.299500820997972,3.0, 0.03076923076923077
-4.114003118565852,380.0,43.0,-1.0,2.0, 0.029370629370629377
-1.0,420.0,46.0,-1.0,1.0, 0.04895104895104896
-5.002154572572409,380.0,41.0,-1.0,2.0, 0.03076923076923077
-4.287607923449525,400.0,48.0,-2.336502303301641,2.0, 0.023776223776223772
-4.052178962635878,390.0,42.0,-1.0,2.0, 0.03776223776223777
-3.8279786497990935,390.0,44.0,-1.336542797926692,1.0, 0.02097902097902098
-2.6250050952587864,420.0,51.0,-2.248899020091214,3.0, 0.029370629370629377
-2.288950486472403,420.0,51.0,-2.114746075964652,3.0, 0.02657342657342656
-7.0,330.0,94.0,-5.303800903947544,7.0, 0.0657342657342657
-2.401731423925494,380.0,42.0,-1.987674589077759,1.0, 0.03356643356643356
-2.4648418357108897,380.0,42.0,-2.0023871397019946,1.0, 0.02657342657342654
-3.427198009879065,390.0,46.0,-1.9873463678294663,1.0, 0.023776223776223772
-4.458534998634324,380.0,43.0,-2.115331279319671,1.0, 0.032167832167832165
-2.575298145389927,380.0,42.0,-2.023873865058312,1.0, 0.019580419580419582
-4.035466061303924,400.0,45.0,-1.6970606372046468,1.0, 0.022377622377622353
-4.49233098332785,380.0,43.0,-2.337595285249056,1.0, 0.029370629370629397
-3.26571384176733,380.0,42.0,-1.0,1.0, 0.03496503496503498
-3.360178400498094,380.0,42.0,-1.0,1.0, 0.03076923076923077
-2.9443024447083994,410.0,50.0,-2.297225541046426,3.0, 0.02657342657342656
-3.350221322425799,380.0,42.0,-3.254135596011742,4.0, 0.02797202797202798
-3.3070265349790113,380.0,42.0,-3.184897027428096,4.0, 0.025174825174825166
-7.0,380.0,42.0,-1.657901492224681,5.0, 0.019580419580419582
-3.2898080133366014,380.0,42.0,-3.272523257144013,4.0, 0.043356643356643354
-5.349024334027787,370.0,42.0,-1.8244588591205613,4.0, 0.03356643356643359
-6.806862772580692,190.0,96.0,-5.298308815665011,16.0, 0.10349650349650352
-3.4922626945178195,370.0,42.0,-2.7030162463170386,3.0, 0.029370629370629352
-6.478271060858607,380.0,45.0,-1.0,6.0, 0.05874125874125875
-6.412939788374765,380.0,45.0,-1.0,6.0, 0.07552447552447553
-6.81703309335582,190.0,96.0,-5.3066139233776415,16.0, 0.06853146853146849
-5.757658397474647,370.0,42.0,-1.2061666371516033,4.0, 0.040559440559440586
-6.688698475589161,370.0,41.0,-4.724471146974934,3.0, 0.07132867132867134
-6.613898383846205,370.0,40.0,-4.531752783676343,3.0, 0.04895104895104896
-6.713352013457518,380.0,40.0,-4.458820401331016,3.0, 0.04475524475524475
-6.743093002269036,380.0,40.0,-4.494310563915754,3.0, 0.03776223776223779
-3.3836063106081467,370.0,38.0,-1.4399899037701105,5.0, 0.02657342657342656
-1.0,420.0,53.0,-1.0,5.0, 0.05314685314685315
-3.2028461808206146,370.0,38.0,-1.2720309664540952,5.0, 0.027972027972028003
-3.225197692694421,370.0,38.0,-1.0,1.0, 0.03356643356643354
-2.9460543626668625,430.0,50.0,-2.429785093000272,1.0, 0.030769230769230792
-1.967152003061928,420.0,48.0,-6.2075828837571265,8.0, 0.5706293706293706
-2.9294479632285024,430.0,50.0,-2.46900754945602,1.0, 0.03076923076923077
-2.6162743170621865,370.0,40.0,-1.0,5.0, 0.02097902097902098
-5.448104942003562,420.0,51.0,-1.0,1.0, 0.05314685314685317
-5.8709454702472526,380.0,38.0,-1.0,7.0, 0.06153846153846154
-1.0,420.0,52.0,-1.0,1.0, 0.06013986013986013
-1.4267958790749853,420.0,50.0,-5.57713414756696,2.0, 0.3622377622377622
-2.409154194535897,360.0,40.0,-1.5784367404136117,4.0, 0.026573426573426585
-2.397789088264205,360.0,40.0,-1.5801600951517158,4.0, 0.04195804195804198
-5.39056963752862,440.0,50.0,-1.0,1.0, 0.032167832167832186
-2.4118718532910433,360.0,40.0,-1.5871565437870512,4.0, 0.032167832167832186
-7.0,430.0,52.0,-1.0,1.0, 0.023776223776223793
-1.5271441759565825,440.0,56.0,-1.2231157447262682,2.0, 0.019580419580419582
-6.662104926594141,430.0,47.0,-1.0,1.0, 0.029370629370629377
-3.5082843118690126,430.0,54.0,-1.0,1.0, 0.026573426573426605
-3.6917415727260936,440.0,53.0,-1.0,2.0, 0.032167832167832186
-5.465587462603219,420.0,51.0,-1.0,1.0, 0.036363636363636355
-4.6643821544707365,430.0,51.0,-1.0,4.0, 0.039160839160839164
-1.0,370.0,38.0,-4.827049915409219,4.0, 0.09230769230769231
-6.842964595597202,190.0,96.0,-5.327035882692079,16.0, 0.036363636363636355
-6.275706617855197,360.0,37.0,-1.0,4.0, 0.02797202797202798
-6.319512663184108,360.0,37.0,-1.0,4.0, 0.03916083916083919
-5.293977673475236,360.0,39.0,-1.0,7.0, 0.2
-1.0,370.0,38.0,-4.501593734473379,4.0, 0.04475524475524475
-3.4625319895709636,360.0,36.0,-1.3987105512883002,1.0, 0.026573426573426585
-1.0,370.0,38.0,-4.622169592564472,4.0, 0.05034965034965035
-1.0,370.0,38.0,-4.61323972343405,4.0, 0.04895104895104896
-1.0170406596493602,440.0,54.0,-6.982959340350641,1.0, 0.4895104895104895
-1.0,330.0,99.0,-1.0,17.0, 0.5132867132867134
-7.0,360.0,38.0,-1.2800405825465957,1.0, 0.030769230769230792
-2.3144870613086463,440.0,50.0,-2.6635979645059384,5.0, 0.022377622377622353
-6.652333232023764,370.0,40.0,-4.741871860775364,3.0, 0.07832167832167833
-1.0,360.0,41.0,-1.0,1.0, 0.030769230769230792
-4.869587921571386,440.0,53.0,-4.09986707617968,1.0, 0.07272727272727272
