alpha,b_size,layer_size,lr,num_layer,result
-3.577329108181509,200,68,-4.185783978233716,1, 0.027972027972028024
-2.0383683793254526,350.0,30.0,-3.8038476621629393,9.0, 0.04195804195804198
-3.182336864924235,270.0,51.0,-2.3548036602165485,6.0, 0.05594405594405594
-1.304942311885089,170,70,-3.7848703867801783,17, 0.027972027972028024
-1.4708908574450494,270.0,52.0,-2.503713030043267,6.0, 0.020979020979020935
-3.0945148125768647,270.0,51.0,-2.768784207328669,4.0, 0.034965034965035
-1.6127698002937683,120,56,-3.9753352882383495,12, 0.027972027972028024
-4.081917368024663,200,76,-5.539238568068746,17, 0.4125874125874126
-3.9050095043572313,430,69,-2.0231068182155028,15, 0.04195804195804198
-2.448090481220923,110.0,58.0,-2.5118560459672654,3.0, 0.034965034965035
-2.4349454799398838,110.0,56.0,-2.7874248831739266,1.0, 0.0
-3.410247545533044,70,65,-2.6697528199426364,16, 0.04195804195804198
-2.441857134905131,110.0,56.0,-2.776117917819412,1.0, 0.013986013986013957
-3.480403763883321,50,56,-1.8510358323269307,1, 0.034965034965035
-5.585280019052457,180.0,28.0,-5.624460914966531,18.0, 0.6153846153846154
-2.826043133397578,180.0,27.0,-3.3186187948621733,19.0, 0.04895104895104896
-1.9103799752565758,130,59,-4.526584154101162,1, 0.006993006993006978
-2.371069699298437,110.0,56.0,-2.8936842661959914,1.0, 0.027972027972028024
-5.091222772065553,170.0,51.0,-3.495366546875406,2.0, 0.027972027972028024
-2.4132243031986214,280.0,41.0,-3.3241821933623226,4.0, 0.04895104895104896
-1.7275298206002223,130,73,-4.9947968220355365,1, 0.04895104895104896
-3.0280143083094493,270.0,54.0,-3.718451773903817,5.0, 0.04195804195804198
-4.284983544474626,210,66,-6.956031054202672,7, 0.6643356643356644
-4.053022104505875,180.0,28.0,-3.260707769809036,17.0, 0.06293706293706292
-2.225557626459267,270.0,51.0,-2.3982304853348775,6.0, 0.027972027972028024
-4.7771525791450555,180.0,28.0,-2.529377470091007,16.0, 0.006993006993006978
-1.3556796825286441,280.0,43.0,-4.62324596522067,2.0, 0.07692307692307687
-5.705333522810477,260.0,54.0,-2.222969028944933,14.0, 0.027972027972028024
-1.5483530708191653,480,39,-4.119704974316899,12, 0.04195804195804198
-2.098869045105248,480,89,-4.353098582846198,1, 0.04195804195804198
-3.555587534131464,270.0,50.0,-2.281758359557138,4.0, 0.020979020979020935
-3.772079546463654,270.0,47.0,-2.260258398908311,8.0, 0.013986013986013957
-3.554068213448636,270.0,47.0,-3.025785493734672,4.0, 0.020979020979020935
-1.8669068505990605,130,59,-5.217186275034134,1, 0.23076923076923073
-5.316124563699171,290,86,-1.6554755993408514,16, 0.027972027972028024
-1.9801369251710534,130.0,59.0,-3.415589803077585,1.0, 0.020979020979020935
-3.6211096343574325,370.0,97.0,-4.228336910600076,14.0, 0.027972027972028024
